hour_number,session_length_hours,total_number_of_orders,DA_price,Ask_mean_price,Ask_price_std,Bid_mean_price,Bid_price_std,Anomaly,Anomaly_score
0,10.849340555555557,3224,51.18,18.345998759305207,12.467092935503722,3.9085949131513646,8.732968231966655,1,0.08017154522619341
1,11.814310555555554,3868,44.76,15.181509824198551,28.11733726585444,-10.501334022750775,8.18626100433176,1,0.08210871898655114
2,12.781380833333332,2960,30.83,1.961986486486486,18.158256306477785,-11.310077702702705,4.854919110360204,1,0.09622102877605582
3,13.783935,2347,7.01,6.973302087771623,15.044699362367307,-4.492671495526204,5.097388477253032,1,0.10134725914586878
4,14.862851944444444,1611,3.55,1.27584109248914,24.604859086023144,-15.287752948479206,17.872363808834162,1,0.09957589790868365
5,15.838438888888888,2586,0.03,0.3735460170146937,12.307771286304684,-11.387699149265275,14.311147631883411,1,0.10884767638544518
6,16.847140555555555,3271,19.92,4.147117089575053,9.584235567381286,-6.170681748700703,9.383744718816716,1,0.11415929558339566
7,17.8599475,4250,16.99,1.0275764705882355,20.45295169418975,-12.75640705882353,32.63678067561075,1,0.09242277044285063
8,18.863529166666662,4939,19.65,-14.130651953836804,16.740821616765285,-33.14287102652359,27.125199489867278,1,0.07613529249691958
9,19.85840361111111,4068,21.21,-70.73478613569321,100.30104606326536,-203.8994641101278,436.90492415915816,-1,-0.07407847089493913
10,20.861746944444445,4955,4.07,-100.84549344096872,92.35810653498044,-139.13860746720485,122.42139931784372,-1,-0.04337192664415723
11,21.8507125,7550,1.0,-112.12114437086096,76.15710267824335,-169.95356291390726,103.88701269388208,-1,-0.05684037742172754
12,22.861672777777777,9174,-0.01,-44.911990407673855,23.156082564536995,-79.67144538914323,37.89405765906788,-1,-0.0016199197999196002
13,23.859185555555555,5316,-0.81,-66.68484951091045,48.94549381672676,-111.3224793077502,80.23608626907533,-1,-0.007406925534862885
14,24.859771944444446,4250,-4.31,-8.828037647058824,26.876159667860765,-49.53843764705883,36.60955621124067,1,0.06917622801842171
15,25.850653055555554,3262,-9.99,-32.13133353770693,29.596256492577893,-78.15294911097487,51.458704964263,1,0.03215924603767728
16,26.85736611111111,10721,-4.32,-18.615679507508627,31.730808797559423,-256.3683751515716,1437.0461077262764,-1,-0.13408037078618973
17,27.83021,2754,-0.04,3.557843137254901,17.536824633621098,-23.69234204793029,270.56938835349143,-1,-0.025696698060939993
18,28.827615,3534,0.16,-5.277504244482174,16.37839253840038,-35.32735993208829,32.513123124072706,1,0.05722143517684897
19,29.85705,4379,4.58,851.8739940625715,2857.265056755837,-257.7874537565654,1191.082730940011,-1,-0.23039464606841353
20,30.85864527777778,7416,1.41,-25.09153182308522,172.14687863152108,-93.96531148867314,233.3774597358436,-1,-0.10611135998991073
21,31.856420277777776,3708,0.71,-49.87536138079828,29.940643965200834,-114.41983549083062,59.44841373223601,-1,-0.034925888920300685
22,7.986038888888889,556,0.09,288.47361510791364,1673.0349977988749,-13.80089928057554,19.59892096452305,-1,-0.11735508252578009
23,8.568343333333333,858,-0.07,834.4277622377623,2754.307593783808,-0.579335664335663,14.36467216620776,-1,-0.1638497023572515
0,9.5568225,2901,-4.28,1.351778697001034,5.321208905357539,-16.67782833505688,18.215770654123435,1,0.04903588730294228
1,10.228951111111112,3932,-6.03,0.7102568667344862,5.732285631430663,-13.458082400813836,225.2925707581249,-1,-0.046565853612999586
2,12.730163611111111,7643,-6.2,-20.507019494962712,33.70204039151305,-49.00901347638362,58.59157637635835,-1,-0.028634953989895462
3,12.393527222222222,2564,-5.92,-21.51497659906396,28.84404872311707,-59.67950468018721,75.7623585348628,1,0.002429776719166221
